filename,Throttle Value,Throttle State,Steering Value,Steering State
0025729.png,1.0,1,0.5,0
0079515.png,1.0,1,0.0,1
0088841.png,0.0,1,0.0,1
0060550.png,0.0,1,0.5,0
0035195.png,0.5,0,0.5,0
0082338.png,0.5,0,0.0,1
0075340.png,0.0,1,0.5,0
0088081.png,1.0,1,0.0,1
0104215.png,0.5,0,1.0,1
0143758.png,0.5,0,0.0,1
0057705.png,0.0,1,1.0,1
0123098.png,1.0,1,1.0,1
0121588.png,0.0,1,0.5,0
0103231.png,0.0,1,0.5,0
0063947.png,1.0,1,1.0,1
0016936.png,0.5,0,0.5,0
0145069.png,0.5,0,1.0,1
0032864.png,1.0,1,0.5,0
0067065.png,0.0,1,0.0,1
0089019.png,0.0,1,0.0,1
0070167.png,0.5,0,0.0,1
0068827.png,0.5,0,1.0,1
0076485.png,1.0,1,0.0,1
0090906.png,0.5,0,0.0,1
0111580.png,0.5,0,0.0,1
0120997.png,1.0,1,0.0,1
0087892.png,0.0,1,1.0,1
0116793.png,0.5,0,1.0,1
0094709.png,1.0,1,1.0,1
0087945.png,0.0,1,1.0,1
0075269.png,0.0,1,0.0,1
0088805.png,0.0,1,1.0,1
0018117.png,1.0,1,0.5,0
0067018.png,0.0,1,0.0,1
0051475.png,0.5,0,0.5,0
0047889.png,1.0,1,0.5,0
0010801.png,1.0,1,0.5,0
0087849.png,0.0,1,0.0,1
0089032.png,0.0,1,1.0,1
0087891.png,0.0,1,1.0,1
0014011.png,0.5,0,0.0,1
0075240.png,0.0,1,1.0,1
0037089.png,1.0,1,0.0,1
0059107.png,0.5,0,1.0,1
0122885.png,1.0,1,0.0,1
0057711.png,0.0,1,1.0,1
0117081.png,1.0,1,0.0,1
0001417.png,1.0,1,0.5,0
0069950.png,0.5,0,1.0,1
0135658.png,0.5,0,0.0,1
0111806.png,0.0,1,0.0,1
0113755.png,1.0,1,1.0,1
0111853.png,0.0,1,1.0,1
0092500.png,0.5,0,1.0,1
0043807.png,1.0,1,0.5,0
0101246.png,0.0,1,0.5,0
0021264.png,0.5,0,0.5,0
0088883.png,0.0,1,1.0,1
0063263.png,0.5,0,0.0,1
0058537.png,1.0,1,1.0,1
0067559.png,1.0,1,0.0,1
0073634.png,0.5,0,0.0,1
0097244.png,0.0,1,0.5,0
0057573.png,0.0,1,0.0,1
0009285.png,0.0,1,0.5,0
0087929.png,0.0,1,1.0,1
0060552.png,0.0,1,0.0,1
0139784.png,0.5,0,1.0,1
0128423.png,1.0,1,1.0,1
0049978.png,1.0,1,0.5,0
0114471.png,0.5,0,0.0,1
0147122.png,0.0,1,0.5,0
0112430.png,1.0,1,1.0,1
0076182.png,0.0,1,0.5,0
0139378.png,0.5,0,1.0,1
0035824.png,0.5,0,0.5,0
0122310.png,0.0,1,0.5,0
0140063.png,1.0,1,0.0,1
0111815.png,0.0,1,1.0,1
0092240.png,0.5,0,1.0,1
0067065.png,0.0,1,0.0,1
0075791.png,0.5,0,1.0,1
0027189.png,0.5,0,0.5,0
0108825.png,1.0,1,1.0,1
0064680.png,0.5,0,0.0,1
0052081.png,0.5,0,0.0,1
0066838.png,1.0,1,1.0,1
0010379.png,1.0,1,0.5,0
0019441.png,0.5,0,0.0,1
0084394.png,0.0,1,0.5,0
0118167.png,1.0,1,1.0,1
0097643.png,0.0,1,0.0,1
0033253.png,0.5,0,0.5,0
0057301.png,0.5,0,0.0,1
0020903.png,1.0,1,0.5,0
0041934.png,0.5,0,0.5,0
0021878.png,0.0,1,0.0,1
0068298.png,0.5,0,1.0,1
0143265.png,0.5,0,1.0,1
0112715.png,0.0,1,0.5,0
0108394.png,0.5,0,0.0,1
0052997.png,0.5,0,0.5,0
0123645.png,1.0,1,1.0,1
0030234.png,0.0,1,0.0,1
0139175.png,1.0,1,1.0,1
0036598.png,0.5,0,0.5,0
0100658.png,0.0,1,0.0,1
0047349.png,1.0,1,0.5,0
0107558.png,0.5,0,0.0,1
0129924.png,1.0,1,0.0,1
0127041.png,1.0,1,0.0,1
0131812.png,0.5,0,0.0,1
0087948.png,0.0,1,0.0,1
0097512.png,1.0,1,0.0,1
0050588.png,0.5,0,0.5,0
0101805.png,1.0,1,0.0,1
0097676.png,0.0,1,0.0,1
0075725.png,0.5,0,1.0,1
0059171.png,0.0,1,0.0,1
0087863.png,0.0,1,1.0,1
0062824.png,1.0,1,1.0,1
0076235.png,0.0,1,0.5,0
0108588.png,0.5,0,1.0,1
0143168.png,0.5,0,1.0,1
0038130.png,1.0,1,1.0,1
0019313.png,1.0,1,1.0,1
0072946.png,0.5,0,0.0,1
0053548.png,0.5,0,0.5,0
0107566.png,0.5,0,0.0,1
0084100.png,0.0,1,0.5,0
0118633.png,1.0,1,0.0,1
0107314.png,0.5,0,1.0,1
0088282.png,1.0,1,0.0,1
0124463.png,1.0,1,0.0,1
0023083.png,0.5,0,1.0,1
0080077.png,0.0,1,0.5,0
0110010.png,1.0,1,0.0,1
0131607.png,1.0,1,1.0,1
0077500.png,1.0,1,1.0,1
0058344.png,1.0,1,0.0,1
0111868.png,0.0,1,1.0,1
0008972.png,1.0,1,0.5,0
0059019.png,0.5,0,0.0,1
0088580.png,0.5,0,0.0,1
0101154.png,0.0,1,1.0,1
0111829.png,0.0,1,1.0,1
0097658.png,0.0,1,0.0,1
0075290.png,0.0,1,0.0,1
0020925.png,1.0,1,0.5,0
0096875.png,0.0,1,0.5,0
0030233.png,0.0,1,0.0,1
0037162.png,0.0,1,0.0,1
0060248.png,0.0,1,0.5,0
0138602.png,0.5,0,1.0,1
0088794.png,0.0,1,0.0,1
0114273.png,1.0,1,0.0,1
0142069.png,0.5,0,0.0,1
0140548.png,0.5,0,0.0,1
0101164.png,0.0,1,0.0,1
0026545.png,0.5,0,0.5,0
0097671.png,0.0,1,0.0,1
0016408.png,1.0,1,0.5,0
0007222.png,0.5,0,0.5,0
0067034.png,0.0,1,0.0,1
0112859.png,0.0,1,0.5,0
0052810.png,0.5,0,0.5,0
0066895.png,1.0,1,1.0,1
0131143.png,1.0,1,0.0,1
0006560.png,0.5,0,0.5,0
0040091.png,1.0,1,0.5,0
0047281.png,1.0,1,0.5,0
0088766.png,0.0,1,0.0,1
0001879.png,1.0,1,0.5,0
0067017.png,0.0,1,0.0,1
0024990.png,0.5,0,0.5,0
0088959.png,0.0,1,1.0,1
0005826.png,0.5,0,0.5,0
0054886.png,1.0,1,1.0,1
0058054.png,0.5,0,0.0,1
